Participant.Name,TOI.Name,AOI.Name,Visit.Interval
101,TOI_04,AOI_79,1.14
102,TOI_06,AOI_92,1.139
102,TOI_06,AOI_59,1.139
102,TOI_10,AOI_92,1.137
102,TOI_04,AOI_47,2.136
101,TOI_06,AOI_85,1.13
102,TOI_07,AOI_81,1.127
102,TOI_05,AOI_76,2.125
102,TOI_07,AOI_19,2.122
101,TOI_08,AOI_13,1.12
101,TOI_10,AOI_76,2.12
101,TOI_02,AOI_27,1.11
101,TOI_04,AOI_39,1.11
101,TOI_10,AOI_49,2.11
102,TOI_05,AOI_85,2.101
101,TOI_01,AOI_69,2.1
101,TOI_02,AOI_35,2.1
101,TOI_09,AOI_88,1.1
101,TOI_09,AOI_89,1.1
102,TOI_10,AOI_10,1.091
101,TOI_03,AOI_49,1.09
101,TOI_09,AOI_61,1.09
102,TOI_07,AOI_28,1.089
102,TOI_09,AOI_51,1.088
102,TOI_05,AOI_77,1.086
101,TOI_09,AOI_67,1.08
102,TOI_09,AOI_90,1.073
102,TOI_08,AOI_25,2.071
101,TOI_06,AOI_60,1.07
101,TOI_10,AOI_70,1.07
102,TOI_08,AOI_32,2.064
102,TOI_04,AOI_23,2.057
102,TOI_05,AOI_75,1.055
102,TOI_07,AOI_39,1.053
101,TOI_05,AOI_17,1.05
102,TOI_04,AOI_95,2.048
101,TOI_06,AOI_25,2.04
101,TOI_07,AOI_41,2.04
102,TOI_06,AOI_05,2.037
102,TOI_09,AOI_20,1.034
101,TOI_08,AOI_100,1.03
101,TOI_10,AOI_85,2.03
102,TOI_05,AOI_57,2.022
102,TOI_05,AOI_64,1.021
102,TOI_10,AOI_90,2.02
102,TOI_09,AOI_60,1.018
102,TOI_08,AOI_55,2.016
101,TOI_01,AOI_16,2.01
101,TOI_07,AOI_92,1.01
101,TOI_09,AOI_19,2.01
102,TOI_02,AOI_81,3.2
101,TOI_04,AOI_02,1.1
101,TOI_04,AOI_83,1.2
101,TOI_05,AOI_24,2.4
102,TOI_05,AOI_36,2.18
102,TOI_04,AOI_75,2.195
101,TOI_04,AOI_45,2.19
102,TOI_04,AOI_75,1.183
101,TOI_08,AOI_49,2.18
102,TOI_07,AOI_92,1.171
101,TOI_07,AOI_07,2.17
102,TOI_07,AOI_80,2.17
101,TOI_05,AOI_60,2.16
102,TOI_01,AOI_24,2.155
102,TOI_09,AOI_17,1.151
102,TOI_06,AOI_70,2.148
102,TOI_07,AOI_11,1.141
101,TOI_05,AOI_71,2.14
101,TOI_06,AOI_72,2.14
101,TOI_09,AOI_08,1.14
101,TOI_10,AOI_04,1.14
102,TOI_07,AOI_04,1.134
102,TOI_03,AOI_11,1.132
102,TOI_03,AOI_85,2.132
101,TOI_04,AOI_08,1.13
101,TOI_06,AOI_47,1.13
101,TOI_07,AOI_59,1.13
101,TOI_07,AOI_12,2.13
101,TOI_07,AOI_92,1.13
102,TOI_08,AOI_60,1.129
102,TOI_08,AOI_32,2.128
102,TOI_02,AOI_50,1.126
102,TOI_05,AOI_66,2.125
102,TOI_10,AOI_98,1.124
102,TOI_06,AOI_24,2.123
101,TOI_08,AOI_92,1.12
101,TOI_09,AOI_58,2.12
102,TOI_09,AOI_21,1.12
102,TOI_02,AOI_48,1.119
102,TOI_08,AOI_45,1.116
102,TOI_07,AOI_12,2.115
102,TOI_01,AOI_87,1.114
102,TOI_08,AOI_39,2.112
101,TOI_04,AOI_49,2.11
101,TOI_07,AOI_21,1.11
101,TOI_08,AOI_41,2.11
102,TOI_06,AOI_85,1.104
102,TOI_01,AOI_10,2.103
102,TOI_06,AOI_62,2.101
101,TOI_03,AOI_58,1.1
101,TOI_07,AOI_13,1.1
102,TOI_04,AOI_57,2.491
102,TOI_10,AOI_18,2.491
101,TOI_06,AOI_63,1.49
101,TOI_06,AOI_44,1.49
102,TOI_01,AOI_29,1.489
102,TOI_01,AOI_16,1.489
102,TOI_04,AOI_25,2.488
102,TOI_08,AOI_03,1.487
102,TOI_08,AOI_69,2.486
102,TOI_08,AOI_70,1.486
102,TOI_09,AOI_29,1.479
102,TOI_10,AOI_95,1.475
102,TOI_06,AOI_18,1.472
101,TOI_03,AOI_63,2.47
102,TOI_09,AOI_62,1.47
102,TOI_01,AOI_94,2.461
102,TOI_08,AOI_65,2.461
101,TOI_06,AOI_17,2.46
101,TOI_09,AOI_21,2.46
101,TOI_09,AOI_86,1.46
101,TOI_10,AOI_49,1.46
102,TOI_02,AOI_30,1.46
102,TOI_05,AOI_35,2.457
102,TOI_10,AOI_20,1.455
102,TOI_06,AOI_09,2.453
101,TOI_04,AOI_04,2.45
101,TOI_04,AOI_36,2.45
101,TOI_07,AOI_65,2.45
102,TOI_08,AOI_08,2.442
101,TOI_08,AOI_83,1.44
101,TOI_10,AOI_63,1.44
102,TOI_08,AOI_68,2.439
102,TOI_01,AOI_56,1.435
102,TOI_05,AOI_11,2.435
102,TOI_06,AOI_04,2.435
101,TOI_06,AOI_43,1.43
101,TOI_06,AOI_76,2.43
102,TOI_10,AOI_88,1.428
102,TOI_05,AOI_69,1.422
101,TOI_10,AOI_96,2.42
102,TOI_02,AOI_71,1.411
101,TOI_02,AOI_69,2.41
101,TOI_04,AOI_80,1.41
101,TOI_08,AOI_76,1.41
101,TOI_09,AOI_65,2.41
101,TOI_10,AOI_93,2.41
101,TOI_10,AOI_89,2.41
102,TOI_09,AOI_89,2.41
102,TOI_10,AOI_44,1.402
102,TOI_08,AOI_08,2.401
101,TOI_06,AOI_53,1.4
102,TOI_09,AOI_25,2.398
102,TOI_09,AOI_31,1.398
102,TOI_07,AOI_52,2.394
102,TOI_02,AOI_50,1.392
101,TOI_01,AOI_12,1.39
101,TOI_01,AOI_91,2.39
101,TOI_07,AOI_12,2.39
101,TOI_08,AOI_45,2.39
101,TOI_09,AOI_21,1.39
101,TOI_10,AOI_90,2.39
102,TOI_01,AOI_46,1.389
102,TOI_06,AOI_54,2.387
102,TOI_05,AOI_40,2.383
101,TOI_03,AOI_70,1.38
101,TOI_05,AOI_58,1.38
102,TOI_04,AOI_37,2.373
101,TOI_08,AOI_67,2.37
102,TOI_07,AOI_47,1.367
102,TOI_10,AOI_18,2.363
101,TOI_05,AOI_74,1.36
101,TOI_07,AOI_50,2.36
101,TOI_08,AOI_13,1.36
101,TOI_08,AOI_12,1.36
102,TOI_01,AOI_51,1.36
102,TOI_09,AOI_16,1.36
102,TOI_04,AOI_49,2.357
102,TOI_09,AOI_68,1.354
102,TOI_05,AOI_15,2.352
101,TOI_04,AOI_43,2.35
101,TOI_08,AOI_04,1.35
102,TOI_06,AOI_59,1.349
102,TOI_01,AOI_83,2.348
102,TOI_06,AOI_57,1.347
102,TOI_09,AOI_63,1.342
101,TOI_04,AOI_27,1.34
101,TOI_07,AOI_95,2.34
102,TOI_02,AOI_67,2.339
102,TOI_04,AOI_78,1.339
102,TOI_04,AOI_36,2.337
102,TOI_05,AOI_74,2.335
102,TOI_09,AOI_28,1.334
102,TOI_05,AOI_54,2.331
101,TOI_03,AOI_58,1.33
101,TOI_10,AOI_31,2.33
102,TOI_01,AOI_77,2.328
102,TOI_03,AOI_74,1.327
102,TOI_03,AOI_49,2.323
101,TOI_06,AOI_20,2.32
102,TOI_07,AOI_74,2.319
102,TOI_05,AOI_01,2.315
102,TOI_07,AOI_95,2.314
101,TOI_04,AOI_99,1.31
101,TOI_06,AOI_37,2.31
101,TOI_08,AOI_91,1.31
101,TOI_09,AOI_07,1.31
101,TOI_10,AOI_91,2.31
102,TOI_07,AOI_68,2.308
102,TOI_07,AOI_99,1.307
102,TOI_05,AOI_05,1.304
102,TOI_08,AOI_18,2.302
101,TOI_05,AOI_48,1.3
101,TOI_06,AOI_82,2.3
101,TOI_07,AOI_28,1.3
101,TOI_07,AOI_24,1.3
101,TOI_07,AOI_06,1.3
101,TOI_09,AOI_70,2.3
101,TOI_09,AOI_59,1.3
101,TOI_10,AOI_98,2.3
102,TOI_01,AOI_73,2.297
102,TOI_03,AOI_47,1.297
102,TOI_03,AOI_06,2.296
101,TOI_04,AOI_73,1.29
101,TOI_05,AOI_24,2.29
101,TOI_09,AOI_19,2.29
102,TOI_03,AOI_06,1.29
102,TOI_05,AOI_19,2.285
102,TOI_07,AOI_19,2.284
102,TOI_02,AOI_92,2.283
102,TOI_04,AOI_21,2.282
102,TOI_05,AOI_23,1.282
101,TOI_05,AOI_92,1.28
101,TOI_07,AOI_02,1.28
101,TOI_08,AOI_85,1.28
102,TOI_02,AOI_06,1.279
102,TOI_09,AOI_93,1.279
102,TOI_08,AOI_65,1.278
101,TOI_02,AOI_77,1.27
101,TOI_05,AOI_65,1.27
101,TOI_08,AOI_16,2.27
101,TOI_10,AOI_95,2.27
102,TOI_05,AOI_75,2.268
102,TOI_05,AOI_25,2.262
102,TOI_07,AOI_14,2.261
101,TOI_01,AOI_56,1.26
101,TOI_04,AOI_64,1.26
101,TOI_04,AOI_33,2.26
101,TOI_06,AOI_31,2.26
101,TOI_07,AOI_65,1.26
101,TOI_07,AOI_97,1.26
101,TOI_07,AOI_08,1.26
102,TOI_01,AOI_56,2.259
102,TOI_03,AOI_52,2.258
102,TOI_07,AOI_63,1.258
102,TOI_02,AOI_70,2.256
102,TOI_05,AOI_85,1.253
101,TOI_07,AOI_84,2.25
101,TOI_08,AOI_49,1.25
102,TOI_09,AOI_75,1.249
102,TOI_01,AOI_04,2.246
102,TOI_04,AOI_31,2.245
102,TOI_03,AOI_53,1.244
102,TOI_10,AOI_40,2.243
101,TOI_05,AOI_91,1.24
101,TOI_10,AOI_33,2.24
101,TOI_10,AOI_65,2.24
102,TOI_02,AOI_50,1.24
102,TOI_05,AOI_70,2.238
102,TOI_03,AOI_94,2.234
102,TOI_05,AOI_57,2.231
101,TOI_03,AOI_30,1.23
101,TOI_08,AOI_38,1.23
102,TOI_02,AOI_40,1.228
102,TOI_06,AOI_41,1.228
102,TOI_05,AOI_09,2.224
101,TOI_07,AOI_37,2.22
101,TOI_09,AOI_66,2.22
101,TOI_10,AOI_51,2.22
102,TOI_02,AOI_60,2.215
102,TOI_05,AOI_44,1.214
102,TOI_07,AOI_30,1.214
101,TOI_01,AOI_70,1.21
101,TOI_08,AOI_23,1.21
101,TOI_10,AOI_58,1.21
101,TOI_10,AOI_71,1.21
102,TOI_10,AOI_79,2.21
102,TOI_07,AOI_50,2.209
102,TOI_08,AOI_46,1.205
102,TOI_01,AOI_65,1.202
102,TOI_04,AOI_43,2.202
102,TOI_09,AOI_93,2.202
102,TOI_03,AOI_69,2.201
101,TOI_05,AOI_62,1.2
101,TOI_06,AOI_99,1.2
101,TOI_07,AOI_75,1.2
101,TOI_08,AOI_66,1.2
102,TOI_06,AOI_01,1.198
102,TOI_07,AOI_45,2.194
102,TOI_01,AOI_41,2.191
101,TOI_01,AOI_52,2.19
101,TOI_04,AOI_100,2.19
101,TOI_05,AOI_08,2.19
101,TOI_07,AOI_94,1.19
101,TOI_07,AOI_05,1.19
101,TOI_07,AOI_46,1.19
101,TOI_10,AOI_56,1.19
102,TOI_10,AOI_78,2.189
102,TOI_10,AOI_17,1.189
102,TOI_06,AOI_31,1.188
102,TOI_10,AOI_90,2.182
101,TOI_03,AOI_82,2.18
101,TOI_04,AOI_61,2.18
101,TOI_04,AOI_82,2.18
101,TOI_10,AOI_35,2.18
102,TOI_09,AOI_58,1.179
102,TOI_10,AOI_46,1.176
101,TOI_03,AOI_30,1.17
101,TOI_06,AOI_04,2.17
102,TOI_01,AOI_19,1.164
102,TOI_02,AOI_62,2.162
102,TOI_09,AOI_13,1.162
101,TOI_05,AOI_26,1.16
101,TOI_09,AOI_48,1.16
101,TOI_10,AOI_51,2.16
102,TOI_06,AOI_63,2.16
102,TOI_07,AOI_58,2.16
102,TOI_04,AOI_31,1.156
102,TOI_09,AOI_77,2.155
102,TOI_04,AOI_73,2.151
102,TOI_10,AOI_01,1.151
101,TOI_05,AOI_72,2.15
101,TOI_07,AOI_29,1.15
102,TOI_09,AOI_56,2.15
102,TOI_01,AOI_12,2.149
102,TOI_08,AOI_99,2.148
101,TOI_04,AOI_48,1.14
101,TOI_07,AOI_65,1.14
101,TOI_08,AOI_60,1.14
101,TOI_09,AOI_100,1.14
102,TOI_03,AOI_58,1.14
102,TOI_09,AOI_89,2.139
102,TOI_10,AOI_57,1.139
102,TOI_05,AOI_85,1.137
102,TOI_01,AOI_39,1.136
101,TOI_01,AOI_23,1.13
101,TOI_05,AOI_74,2.13
101,TOI_07,AOI_16,1.13
101,TOI_07,AOI_78,2.13
101,TOI_07,AOI_33,2.13
101,TOI_08,AOI_61,2.13
101,TOI_08,AOI_93,1.13
101,TOI_09,AOI_23,1.13
101,TOI_10,AOI_20,2.13
102,TOI_09,AOI_56,1.129
102,TOI_07,AOI_98,2.126
102,TOI_02,AOI_04,1.124
102,TOI_06,AOI_87,2.123
101,TOI_04,AOI_13,2.12
101,TOI_09,AOI_72,2.12
101,TOI_09,AOI_69,2.12
101,TOI_01,AOI_80,1.11
101,TOI_06,AOI_14,2.11
101,TOI_07,AOI_85,2.11
102,TOI_06,AOI_89,2.11
102,TOI_07,AOI_08,2.108
102,TOI_07,AOI_77,2.104
102,TOI_08,AOI_26,2.104
101,TOI_01,AOI_13,2.1
101,TOI_02,AOI_48,2.1
101,TOI_05,AOI_56,2.1
101,TOI_05,AOI_55,1.1
101,TOI_05,AOI_52,1.1
102,TOI_06,AOI_67,1.499
102,TOI_07,AOI_15,1.498
102,TOI_08,AOI_91,1.498
102,TOI_06,AOI_23,1.494
102,TOI_05,AOI_28,1.492
102,TOI_07,AOI_34,1.491
102,TOI_08,AOI_28,2.491
101,TOI_04,AOI_79,2.49
101,TOI_05,AOI_72,1.49
101,TOI_05,AOI_94,1.49
101,TOI_10,AOI_49,2.49
102,TOI_06,AOI_48,1.482
101,TOI_01,AOI_73,2.48
101,TOI_02,AOI_77,1.48
101,TOI_07,AOI_09,1.48
101,TOI_07,AOI_86,1.48
101,TOI_10,AOI_50,1.48
102,TOI_05,AOI_57,2.48
102,TOI_06,AOI_74,1.48
102,TOI_04,AOI_06,1.478
102,TOI_08,AOI_55,1.476
102,TOI_09,AOI_84,2.476
102,TOI_07,AOI_90,1.474
102,TOI_07,AOI_07,1.472
101,TOI_03,AOI_75,2.47
101,TOI_05,AOI_51,2.47
101,TOI_06,AOI_41,2.47
101,TOI_07,AOI_57,1.47
101,TOI_07,AOI_75,2.47
101,TOI_08,AOI_66,2.47
101,TOI_10,AOI_12,1.47
101,TOI_10,AOI_36,1.47
102,TOI_01,AOI_03,1.468
102,TOI_05,AOI_72,2.466
102,TOI_03,AOI_53,2.465
102,TOI_05,AOI_17,2.465
101,TOI_03,AOI_33,2.46
101,TOI_03,AOI_99,2.46
101,TOI_05,AOI_03,2.46
101,TOI_07,AOI_26,1.46
101,TOI_07,AOI_61,2.46
101,TOI_09,AOI_89,1.46
101,TOI_10,AOI_18,1.46
101,TOI_10,AOI_10,2.46
102,TOI_07,AOI_18,1.46
102,TOI_10,AOI_09,2.454
102,TOI_10,AOI_25,1.454
102,TOI_10,AOI_94,1.454
102,TOI_07,AOI_90,2.452
101,TOI_05,AOI_65,1.45
101,TOI_05,AOI_77,1.45
101,TOI_05,AOI_73,1.45
101,TOI_07,AOI_03,1.45
101,TOI_09,AOI_16,1.45
102,TOI_05,AOI_12,1.45
102,TOI_09,AOI_56,2.449
102,TOI_05,AOI_16,1.448
102,TOI_06,AOI_35,2.448
102,TOI_06,AOI_43,2.446
101,TOI_01,AOI_29,2.44
101,TOI_01,AOI_74,2.44
101,TOI_01,AOI_46,2.44
101,TOI_05,AOI_11,2.44
101,TOI_09,AOI_56,1.44
102,TOI_05,AOI_84,2.439
102,TOI_04,AOI_94,1.437
102,TOI_05,AOI_30,2.437
102,TOI_07,AOI_24,1.435
102,TOI_08,AOI_100,1.431
101,TOI_02,AOI_02,1.43
101,TOI_04,AOI_96,1.43
101,TOI_05,AOI_03,1.43
101,TOI_05,AOI_51,2.43
101,TOI_10,AOI_05,2.43
101,TOI_10,AOI_84,1.43
101,TOI_10,AOI_25,2.43
102,TOI_01,AOI_86,2.429
102,TOI_08,AOI_42,1.428
102,TOI_05,AOI_94,2.426
101,TOI_01,AOI_78,1.42
101,TOI_01,AOI_60,1.42
101,TOI_03,AOI_90,2.42
101,TOI_07,AOI_76,2.42
101,TOI_08,AOI_92,1.42
102,TOI_07,AOI_70,2.42
102,TOI_09,AOI_57,1.42
102,TOI_06,AOI_34,1.419
102,TOI_05,AOI_50,2.418
102,TOI_06,AOI_86,1.418
102,TOI_01,AOI_43,1.417
102,TOI_09,AOI_03,2.417
102,TOI_07,AOI_91,1.415
102,TOI_09,AOI_51,2.413
101,TOI_01,AOI_27,2.41
101,TOI_02,AOI_57,2.41
101,TOI_03,AOI_83,1.41
101,TOI_05,AOI_38,1.41
101,TOI_05,AOI_76,1.41
101,TOI_05,AOI_78,2.41
101,TOI_08,AOI_76,2.41
101,TOI_08,AOI_67,2.41
101,TOI_08,AOI_75,2.41
101,TOI_08,AOI_64,1.41
101,TOI_09,AOI_41,1.41
102,TOI_02,AOI_43,1.41
102,TOI_07,AOI_43,1.409
102,TOI_08,AOI_71,2.409
102,TOI_09,AOI_83,1.408
102,TOI_08,AOI_96,2.407
102,TOI_08,AOI_82,2.406
102,TOI_03,AOI_88,1.404
102,TOI_10,AOI_19,1.404
102,TOI_06,AOI_30,1.402
102,TOI_08,AOI_92,2.402
101,TOI_01,AOI_84,1.4
101,TOI_04,AOI_33,1.4
101,TOI_05,AOI_64,1.4
101,TOI_06,AOI_05,1.4
102,TOI_05,AOI_58,1.4
102,TOI_04,AOI_08,1.399
102,TOI_04,AOI_36,1.397
102,TOI_02,AOI_28,1.396
102,TOI_02,AOI_38,2.396
102,TOI_07,AOI_16,2.396
102,TOI_04,AOI_88,2.395
102,TOI_01,AOI_32,2.394
102,TOI_07,AOI_21,2.394
102,TOI_05,AOI_39,2.392
101,TOI_01,AOI_60,1.39
101,TOI_02,AOI_57,2.39
101,TOI_03,AOI_25,2.39
101,TOI_05,AOI_14,1.39
101,TOI_07,AOI_02,2.39
101,TOI_07,AOI_57,1.39
101,TOI_09,AOI_12,1.39
102,TOI_08,AOI_88,2.389
102,TOI_07,AOI_27,2.386
102,TOI_10,AOI_55,1.384
102,TOI_02,AOI_42,1.383
102,TOI_01,AOI_45,1.382
102,TOI_04,AOI_04,2.381
102,TOI_09,AOI_25,1.381
101,TOI_01,AOI_02,1.38
101,TOI_01,AOI_84,1.38
101,TOI_03,AOI_43,2.38
101,TOI_03,AOI_81,2.38
101,TOI_05,AOI_64,1.38
101,TOI_07,AOI_42,2.38
102,TOI_07,AOI_78,1.379
102,TOI_10,AOI_36,2.379
102,TOI_04,AOI_84,1.377
102,TOI_10,AOI_60,1.377
102,TOI_02,AOI_89,2.374
102,TOI_07,AOI_84,1.373
101,TOI_05,AOI_40,1.37
101,TOI_06,AOI_81,1.37
101,TOI_07,AOI_29,2.37
101,TOI_09,AOI_04,1.37
101,TOI_09,AOI_88,2.37
101,TOI_09,AOI_06,1.37
101,TOI_10,AOI_28,1.37
102,TOI_05,AOI_64,2.369
102,TOI_06,AOI_65,1.369
102,TOI_05,AOI_100,1.368
102,TOI_06,AOI_43,2.368
102,TOI_02,AOI_63,1.365
102,TOI_10,AOI_57,2.365
102,TOI_06,AOI_14,1.364
102,TOI_02,AOI_11,1.362
102,TOI_06,AOI_52,1.361
101,TOI_04,AOI_64,2.36
101,TOI_04,AOI_30,1.36
101,TOI_05,AOI_02,2.36
101,TOI_06,AOI_35,1.36
101,TOI_07,AOI_99,1.36
101,TOI_09,AOI_28,2.36
101,TOI_10,AOI_92,1.36
101,TOI_10,AOI_69,2.36
102,TOI_02,AOI_49,1.36
102,TOI_05,AOI_68,1.36
102,TOI_09,AOI_68,2.36
102,TOI_05,AOI_07,2.354
102,TOI_07,AOI_16,1.351
102,TOI_07,AOI_98,1.351
101,TOI_01,AOI_54,2.35
101,TOI_03,AOI_65,1.35
101,TOI_04,AOI_78,2.35
101,TOI_07,AOI_74,2.35
102,TOI_06,AOI_38,2.346
102,TOI_03,AOI_43,1.345
101,TOI_05,AOI_47,2.34
101,TOI_05,AOI_53,2.34
101,TOI_05,AOI_39,1.34
101,TOI_05,AOI_70,2.34
101,TOI_05,AOI_83,1.34
101,TOI_06,AOI_38,1.34
101,TOI_09,AOI_41,1.34
101,TOI_09,AOI_32,2.34
102,TOI_06,AOI_34,2.338
102,TOI_07,AOI_48,2.338
102,TOI_01,AOI_10,2.335
102,TOI_02,AOI_63,1.335
102,TOI_07,AOI_09,1.335
102,TOI_07,AOI_16,1.335
102,TOI_05,AOI_61,2.333
102,TOI_05,AOI_73,1.332
102,TOI_06,AOI_71,2.331
102,TOI_07,AOI_96,2.331
101,TOI_01,AOI_89,2.33
101,TOI_05,AOI_87,1.33
101,TOI_05,AOI_96,2.33
101,TOI_06,AOI_22,2.33
101,TOI_06,AOI_49,1.33
101,TOI_07,AOI_33,2.33
101,TOI_08,AOI_40,1.33
101,TOI_08,AOI_64,1.33
102,TOI_10,AOI_80,1.33
102,TOI_07,AOI_77,2.327
102,TOI_06,AOI_97,2.326
102,TOI_06,AOI_48,2.323
102,TOI_10,AOI_55,2.323
102,TOI_01,AOI_70,2.321
102,TOI_07,AOI_49,1.321
101,TOI_02,AOI_70,2.32
101,TOI_04,AOI_35,1.32
101,TOI_05,AOI_92,2.32
101,TOI_07,AOI_65,2.32
101,TOI_08,AOI_100,2.32
101,TOI_09,AOI_72,2.32
102,TOI_02,AOI_44,1.319
102,TOI_10,AOI_55,1.319
102,TOI_01,AOI_26,2.316
102,TOI_08,AOI_55,2.313
102,TOI_01,AOI_84,2.312
102,TOI_05,AOI_22,2.311
102,TOI_07,AOI_08,2.311
102,TOI_07,AOI_14,2.311
101,TOI_01,AOI_96,1.31
101,TOI_05,AOI_87,1.31
101,TOI_05,AOI_90,2.31
101,TOI_06,AOI_37,1.31
101,TOI_07,AOI_72,1.31
101,TOI_07,AOI_52,2.31
101,TOI_07,AOI_13,1.31
101,TOI_09,AOI_13,1.31
101,TOI_09,AOI_83,2.31
102,TOI_10,AOI_58,1.309
